area_type,availability,size,site_location,society,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,4 Bedroom,Jangali Maharaj Road,,1200,4,3,165
Super built-up  Area,Ready To Move,3 BHK,Kalyani Nagar,PhestOn,2390,3,2,415
Plot  Area,Ready To Move,4 Bedroom,Karve Nagar,,2400,4,1,400
Super built-up  Area,Ready To Move,3 BHK,Karve Road,NRowse ,1464,3,2,56
Super built-up  Area,Ready To Move,2 BHK,Kasba Peth,,1200,2,2,55
Super built-up  Area,Ready To Move,2 BHK,Katraj,Abncy R,1200,2,2,52
Super built-up  Area,Ready To Move,3 BHK,Khadaki,Baowsig,1150,2,1,55
Built-up  Area,Ready To Move,3 BHK,Khadki,Itala A,1645,3,2,95
Super built-up  Area,20-Mar,2 BHK,Kharadi,,1000,2,1,67
Plot  Area,Ready To Move,4 Bedroom,Kondhwa,,2650,4,2,198
Super built-up  Area,Ready To Move,2 BHK,Kondhwa Budruk,HMinebo,1192,2,2,74
Super built-up  Area,Ready To Move,3 BHK,Kondhwa Khurd,K borja,2135,3,2,215
Super built-up  Area,19-Dec,2 BHK,Koregaon Park,Oreldhi,1173,2,1,58
Built-up  Area,Ready To Move,2 BHK,Kothrud,Sungspr,1020,2,2,45
Super built-up  Area,Ready To Move,4 BHK,Law College Road,Prtanha,3122,6,2,230
Super built-up  Area,Ready To Move,3 BHK,Laxmi Road,,1600,3,3,64
Plot  Area,18-Mar,2 Bedroom,Lulla Nagar,,1200,2,0,79
Carpet  Area,Ready To Move,2 BHK,Mahatma Gandhi Road,,1230,2,3,48
Super built-up  Area,Ready To Move,2 BHK,Mangalwar peth,Clntsrt,1250,2,2,40
Super built-up  Area,Ready To Move,2 BHK,Manik Bagh,PuamaPa,1325,2,2,76
Built-up  Area,Ready To Move,3 BHK,Market yard,Brngsal,1850,3,1,150
Super built-up  Area,21-Dec,1 BHK,Model colony,PrarePa,525,,,21.53
Super built-up  Area,Ready To Move,2 BHK,Mukund Nagar,,1200,2,2,65
Plot  Area,Ready To Move,3 Bedroom,Mundhawa,,1350,2,0,140
Super built-up  Area,18-Jun,3 BHK,Nagar Road,SSestth,1260,3,1,49.36
Super built-up  Area,Ready To Move,3 BHK,Nana Peth,Vancy R,1800,3,0,150
Plot  Area,18-Dec,3 Bedroom,Narayan Peth,PrhyaK ,11,3,2,74
Built-up  Area,Ready To Move,2 BHK,Narayangaon,Miwel M,1100,2,1,43.25
Super built-up  Area,Ready To Move,2 BHK,Navi Peth,SrEndPo,1508,2,1,77
Carpet  Area,Ready To Move,3 BHK,Padmavati,Puens G,1592,3,2,75
Super built-up  Area,Ready To Move,2 BHK,Parvati Darshan,SagasSa,1388,2,3,57
Super built-up  Area,18-May,1 BHK,Pashan,SNbay G,630,1,1,28.35
Plot  Area,Ready To Move,3 Bedroom,Paud Road,,2000,3,2,365
Super built-up  Area,Ready To Move,3 BHK,Pirangut,,1762,3,1,125
Super built-up  Area,21-Dec,2 BHK,Prabhat Road,,950,2,2,50
Super built-up  Area,Ready To Move,4 BHK,Pune Railway Station,Soianal,3252,5,3,335
Super built-up  Area,18-Aug,2 BHK,Rasta Peth,Vrenty ,1116,2,1,50
Super built-up  Area,Ready To Move,2 BHK,Raviwar Peth,AriosHe,1308,2,2,89.04
Super built-up  Area,Ready To Move,3 BHK,Sadashiv Peth,,1200,3,0,90
Plot  Area,Ready To Move,4 Bedroom,Sahakar Nagar,,1500,4,2,230
Built-up  Area,Ready To Move,1 BHK,Salunke Vihar,,500,1,1,18.5
Super built-up  Area,Ready To Move,2 BHK,Sasson Road,SLureSi,1075,2,1,52
Super built-up  Area,18-Mar,1 BHK,Satara Road,Siissi ,530,1,0,11.66
Built-up  Area,Ready To Move,2 BHK,Senapati Bapat Road,,1205,2,3,66
Super built-up  Area,Ready To Move,2 BHK,Shaniwar Peth,Mangsr ,1075,2,2,60
Built-up  Area,Ready To Move,2 BHK,Shivaji Nagar,HovasTe,930,2,2,39
Super built-up  Area,Ready To Move,2 BHK,Shukrawar Peth,Exncene,1380,2,1,60
Super built-up  Area,Ready To Move,4 BHK,Sinhagad Road,Prersis,2483,5,2,212
Built-up  Area,Ready To Move,2 BHK,Somwar Peth,Shyas S,1166,2,2,55
Super built-up  Area,Ready To Move,2 BHK,Swargate,NadelCi,1050,2,1,65
Super built-up  Area,19-Mar,3 BHK,Tilak Road,Sothadr,2023.71,3,2,275
Super built-up  Area,Ready To Move,2 BHK,Uruli Devachi,Dhalsh ,1200,2,2,46.8
Super built-up  Area,Ready To Move,3 BHK,Vadgaon Budruk,Puarent,1600,2,1,108
Super built-up  Area,Ready To Move,3 BHK,Wadgaon Sheri,MaionPa,1935,3,2,110
Super built-up  Area,18-May,1 BHK,Viman Nagar,Maian M,451,1,0,29.9
Super built-up  Area,Ready To Move,3 BHK,Vishrant Wadi,ShstaAl,1800,3,2,95
Super built-up  Area,18-May,3 BHK,Wagholi,Shard T,1400,3,0,77
Super built-up  Area,Ready To Move,3 BHK,Wakadewadi,SoitaCa,1801,3,2,115
Built-up  Area,Ready To Move,2 BHK,Wanowrie,Neagar ,1451,2,,90
Plot  Area,19-Jan,2 Bedroom,Warje,,1200,1,1,36
Super built-up  Area,Ready To Move,2 BHK,Yerawada,Dhalsh ,1160,2,2,44
Built-up  Area,Ready To Move,2 BHK,Alandi Road,,1000,2,1,25
Super built-up  Area,Ready To Move,2 BHK,Ambegaon Budruk,Wiowsri,950,2,1,40
Built-up  Area,20-Dec,3 BHK,Anandnagar,,1629,3,2,79
Built-up  Area,Ready To Move,3 BHK,Aundh,,1580,2,0,134
Super built-up  Area,21-Jun,3 BHK,Aundh Road,Saityat,1826,3,2,121
Built-up  Area,Ready To Move,2 BHK,Balaji Nagar,Eladero,1245,2,1,94
Super built-up  Area,Ready To Move,2 BHK,Baner,Lancyey,1145,2,2,45.79
Super built-up  Area,Ready To Move,2 BHK,Baner road,Suiseit,825,2,1,33
Super built-up  Area,18-Aug,3 BHK,Bhandarkar Road,Aroomba,1693,3,3,108
Super built-up  Area,Ready To Move,2 BHK,Bhavani Peth,Courf T,1113.27,2,2,53
Built-up  Area,Ready To Move,2 BHK,Bibvewadi,VMowsea,1460,2,1,58
Built-up  Area,Ready To Move,2 BHK,Bopodi,S onsMa,1050,2,1,32
Built-up  Area,Ready To Move,2 BHK,Budhwar Peth,Tuentpa,1260,2,2,55
Super built-up  Area,Ready To Move,6 BHK,Bund Garden Road,,700,3,,120
Built-up  Area,Ready To Move,2 BHK,Camp,Tovesee,1656,2,1,120
Super built-up  Area,Ready To Move,3 BHK,Chandan Nagar,Vailsaf,1208,3,1,45
Super built-up  Area,Ready To Move,3 BHK,Dapodi,BrlisCo,1910,3,2,161
Super built-up  Area,Ready To Move,4 BHK,Deccan Gymkhana,Haestt ,3252,4,1,230
Plot  Area,Ready To Move,2 Bedroom,Dehu Road,,1200,2,1,65
Super built-up  Area,Ready To Move,4 BHK,Dhankawadi,,1200,4,1,175
Super built-up  Area,Ready To Move,2 BHK,Dhayari Phata,BriumMi,1175,2,1,82
Plot  Area,Ready To Move,2 Bedroom,Dhole Patil Road,,1000,2,0,165
Plot  Area,Ready To Move,4 Bedroom,Erandwane,,1200,2,0,125
Super built-up  Area,Ready To Move,3 BHK,Fatima Nagar,PhestOn,2390,3,2,410
Super built-up  Area,19-Jan,7 BHK,Fergusson College Road,,12000,6,3,2200
Plot  Area,Ready To Move,2 Bedroom,Ganesh Peth,,550,1,1,62
Super built-up  Area,Ready To Move,1 BHK,Ganeshkhind,,34.46Sq. Meter,1,0,18.5
Super built-up  Area,Ready To Move,2 BHK,Ghorpade Peth,Hoxiaa ,1185,2,,38
Super built-up  Area,Ready To Move,2 BHK,Ghorpadi,VBvenal,750,2,1,38
Plot  Area,Ready To Move,6 Bedroom,Gokhale Nagar,,1200,7,3,250
Super built-up  Area,Ready To Move,3 BHK,Gultekdi,JRrnauv,1550,3,3,64.5
Built-up  Area,Ready To Move,3 BHK,Guruwar peth,Hoeatan,1760,3,2,88
Super built-up  Area,Ready To Move,2 BHK,Hadapsar,Asity S,1125,2,2,62
Plot  Area,Ready To Move,3 Bedroom,Hadapsar Industrial Estate,,1350,3,2,150
Plot  Area,17-Dec,2 Bedroom,Hingne Khurd,,1000,2,1,55
Built-up  Area,18-Aug,2 BHK,Jangali Maharaj Road,,1090,2,2,31.48
Plot  Area,Ready To Move,2 Bedroom,Kalyani Nagar,,1200,2,0,60
Super built-up  Area,Ready To Move,3 BHK,Karve Nagar,PrityTr,1991,4,2,103
Super built-up  Area,18-Oct,2 BHK,Karve Road,DSoodil,1060,2,1,26.5
Super built-up  Area,Ready To Move,2 BHK,Kasba Peth,SJarkte,1105,2,1,75
Built-up  Area,Ready To Move,2 BHK,Katraj,Dhgraas,985,2,2,67
Plot  Area,Ready To Move,6 Bedroom,Khadaki,,1533,5,3,85
Super built-up  Area,17-Jul,3 BHK,Khadki,HiqueMa,1590,3,2,79
Super built-up  Area,Ready To Move,2 BHK,Kharadi,Srshq T,1120,2,2,55
Super built-up  Area,Ready To Move,2 BHK,Kondhwa,SPontna,1069,2,1,55
Super built-up  Area,Ready To Move,3 BHK,Kondhwa Budruk,Prionad,1933,3,2,140
Built-up  Area,16-Mar,2 BHK,Kondhwa Khurd,PuendWe,1194,2,0,69
Super built-up  Area,Ready To Move,2 BHK,Koregaon Park,Danna S,1150,2,3,69
Super built-up  Area,Ready To Move,2 BHK,Kothrud,,1240,2,2,47.12
Super built-up  Area,Ready To Move,2 BHK,Law College Road,GrrvaGr,1419,2,2,48.1
Plot  Area,Ready To Move,8 Bedroom,Laxmi Road,,1200,8,,250
Super built-up  Area,Ready To Move,3 BHK,Lulla Nagar,Bltonin,2150,4,,240
Super built-up  Area,Ready To Move,3 BHK,Mahatma Gandhi Road,MSanaer,1450,3,2,55
Super built-up  Area,18-Jul,3 BHK,Mangalwar peth,Plowsri,1630,3,2,68.29
Super built-up  Area,Ready To Move,2 BHK,Manik Bagh,Tavenew,708,1,1,40
Plot  Area,Ready To Move,3 Bedroom,Market yard,,1000,4,3,110
Plot  Area,Ready To Move,4 Bedroom,Model colony,,11890,4,3,700
Super built-up  Area,Ready To Move,2 BHK,Mukund Nagar,Ocavees,1250,2,1,76
Super built-up  Area,Ready To Move,3 BHK,Mundhawa,Brnia G,1400,2,1,95
Super built-up  Area,Ready To Move,3 BHK,Nagar Road,,1670,2,3,57
Super built-up  Area,Ready To Move,3 BHK,Nana Peth,SoystAm,1750,3,2,100
Super built-up  Area,Ready To Move,2 BHK,Narayan Peth,Prlla C,1404,2,1,71
Super built-up  Area,Ready To Move,3 BHK,Narayangaon,SMaxyay,1715,2,2,95
Built-up  Area,18-Apr,1 BHK,Navi Peth,Prarkun,630,1,1,34.65
Super built-up  Area,Ready To Move,3 BHK,Padmavati,SosicCl,1752.12,3,2,135
Super built-up  Area,Ready To Move,3 BHK,Parvati Darshan,,1650,3,2,78
Super built-up  Area,Ready To Move,2 BHK,Pashan,GrrvaGr,1295,2,1,55.47
Plot  Area,Ready To Move,3 Bedroom,Paud Road,Bancyri,1800,3,2,252
Super built-up  Area,18-Sep,2 BHK,Pirangut,PualeSk,1346,2,1,74.03
Plot  Area,Ready To Move,4 Bedroom,Prabhat Road,,1200,4,2,200
Super built-up  Area,Ready To Move,2 BHK,Pune Railway Station,ElavuHo,1150,2,2,55
Built-up  Area,Ready To Move,4 Bedroom,Rasta Peth,Gontyol,3309,4,3,325
Super built-up  Area,18-May,3 BHK,Raviwar Peth,SunceEs,1190,2,2,30.35
Super built-up  Area,Ready To Move,3 BHK,Sadashiv Peth,DSutyng,1620,3,2,98
Super built-up  Area,18-Apr,2 BHK,Sahakar Nagar,,950,2,1,46.96
Super built-up  Area,Ready To Move,11 BHK,Salunke Vihar,Bancyri,5000,9,3,360
Super built-up  Area,Ready To Move,3 BHK,Sasson Road,SrEndPo,2450,3,0,120
Super built-up  Area,18-May,3 BHK,Satara Road,Sryalan,1220,2,1,35.23
Super built-up  Area,Ready To Move,2 BHK,Senapati Bapat Road,RKntsrt,850,2,1,30
Built-up  Area,Ready To Move,2 BHK,Shaniwar Peth,,1020,2,2,63
Built-up  Area,Ready To Move,2 BHK,Shivaji Nagar,,1100,2,2,50
Super built-up  Area,Ready To Move,2 BHK,Shukrawar Peth,Vantspa,1150,2,2,126
Super built-up  Area,18-Dec,3 BHK,Sinhagad Road,Mahosya,1760,2,2,130
Super built-up  Area,Ready To Move,3 BHK,Somwar Peth,,1800,3,3,110
Super built-up  Area,Ready To Move,2 BHK,Swargate,,1070,2,1,54
Plot  Area,Ready To Move,4 Bedroom,Tilak Road,,1500,4,2,220
Plot  Area,Ready To Move,2 Bedroom,Uruli Devachi,,1440,2,0,95
Super built-up  Area,Ready To Move,2 BHK,Vadgaon Budruk,Prowsi ,900,2,1,40
Built-up  Area,Ready To Move,4 BHK,Wadgaon Sheri,,1200,4,1,230
Super built-up  Area,18-May,2 BHK,Viman Nagar,SMuilan,1130,2,1,42.16
Super built-up  Area,Ready To Move,2 BHK,Vishrant Wadi,Proodt ,1320,2,1,165
Super built-up  Area,19-Jun,2 BHK,Wagholi,,1270,2,1,98
Built-up  Area,Ready To Move,2 BHK,Wakadewadi,Sryamar,1200,2,1,62
Super built-up  Area,Ready To Move,4 BHK,Wanowrie,,4800,4,,235
Super built-up  Area,Ready To Move,2 BHK,Warje,,1200,2,1,74
Super built-up  Area,Ready To Move,2 BHK,Yerawada,Prldsri,929,2,0,50.17
Built-up  Area,Ready To Move,4 BHK,Alandi Road,LiaveEn,1150,4,2,260
Plot  Area,Ready To Move,4 Bedroom,Ambegaon Budruk,,1125,4,3,180
Plot  Area,Ready To Move,5 Bedroom,Anandnagar,,500,3,2,65
Plot  Area,Ready To Move,5 Bedroom,Aundh,Bemesrm,1200,5,2,190
Super built-up  Area,Ready To Move,3 BHK,Aundh Road,,1464,3,2,56
Super built-up  Area,Ready To Move,4 BHK,Balaji Nagar,,3600,4,3,400
Plot  Area,Ready To Move,4 Bedroom,Baner,,2000,4,2,99
Super built-up  Area,Ready To Move,2 BHK,Baner road,,1208,2,1,49
Super built-up  Area,Ready To Move,2 BHK,Bhandarkar Road,Vrensn ,1130,2,2,60
Super built-up  Area,Ready To Move,3 BHK,Bhavani Peth,VDdonel,1753,3,2,120
Super built-up  Area,Ready To Move,5 BHK,Bibvewadi,Brica E,4500,7,3,337
Plot  Area,Ready To Move,3 Bedroom,Bopodi,,600,3,2,58
Super built-up  Area,22-Jun,2 BHK,Budhwar Peth,GoAirej,1196,2,2,94.42
Built-up  Area,Ready To Move,2 BHK,Bund Garden Road,Prenty ,1150,3,3,52.5
Super built-up  Area,18-Apr,2 BHK,Camp,Prarkun,1128,2,1,63
Super built-up  Area,Ready To Move,2 BHK,Chandan Nagar,Shinei ,1000,2,1,53
Super built-up  Area,Ready To Move,2 BHK,Dapodi,Apows M,1035,2,1,45
Built-up  Area,Ready To Move,2 BHK,Deccan Gymkhana,,950,2,1,32
Super built-up  Area,Ready To Move,3 BHK,Dehu Road,Prityel,1075,2,1,36
Super built-up  Area,Ready To Move,2 BHK,Dhankawadi,SVineun,1040,2,1,48.5
Plot  Area,17-Oct,2 Bedroom,Dhayari Phata,,720,2,1,45
Super built-up  Area,Ready To Move,3 BHK,Dhole Patil Road,Soiewre,1511,3,1,95
Built-up  Area,Ready To Move,3 BHK,Erandwane,,1300,3,1,58
Super built-up  Area,19-Dec,3 BHK,Fatima Nagar,Caycend,1545,3,1,68.75
Built-up  Area,Ready To Move,1 BHK,Fergusson College Road,,375,2,0,26
Super built-up  Area,Ready To Move,2 BHK,Ganesh Peth,,1062,2,3,38
Super built-up  Area,Ready To Move,2 BHK,Ganeshkhind,,1115,2,1,40
Super built-up  Area,Ready To Move,2 BHK,Ghorpade Peth,DSvvyx ,1000,2,1,35
Super built-up  Area,17-May,2 BHK,Ghorpadi,Prrtht ,883,2,1,45
Super built-up  Area,19-Apr,2 BHK,Gokhale Nagar,Brareio,1195,2,1,70
Plot  Area,Ready To Move,4 Bedroom,Gultekdi,,1200,3,1,165
Built-up  Area,Ready To Move,1 Bedroom,Guruwar peth,,700,1,0,41
Super built-up  Area,Ready To Move,2 BHK,Hadapsar,Prlla C,1246,2,1,67
Plot  Area,Ready To Move,4 Bedroom,Hadapsar Industrial Estate,,660,4,2,90
Plot  Area,Ready To Move,4 Bedroom,Hingne Khurd,,8500,4,2,145
Super built-up  Area,Ready To Move,4 BHK,Jangali Maharaj Road,,1600,4,1,80
Super built-up  Area,18-Dec,4 BHK,Kalyani Nagar,SNnia E,2805,5,3,154
Super built-up  Area,Ready To Move,3 BHK,Karve Nagar,,1584,3,,65
Plot  Area,Ready To Move,4 Bedroom,Karve Road,,3000,5,1,275
Built-up  Area,Ready To Move,3 BHK,Kasba Peth,,1175,2,2,48
Built-up  Area,19-Jul,3 BHK,Katraj,,1595,3,2,115
Super built-up  Area,Ready To Move,2 BHK,Khadaki,OlarkLa,1353,2,2,110
Super built-up  Area,18-Apr,3 BHK,Khadki,Prarkun,1599,3,2,125
Super built-up  Area,Ready To Move,2 BHK,Kharadi,SuMTBPr,1150,2,1,70
Super built-up  Area,17-Dec,4 BHK,Kondhwa,Lecco C,5230,6,1,465
Super built-up  Area,Ready To Move,2 BHK,Kondhwa Budruk,Jahidva,1155,2,2,42.74
Built-up  Area,Ready To Move,1 BHK,Kondhwa Khurd,,1200,2,0,85
Super built-up  Area,18-Jul,2 BHK,Koregaon Park,,1000,2,1,25
Super built-up  Area,Ready To Move,4 BHK,Kothrud,,3000,4,,120
Built-up  Area,Ready To Move,3 BHK,Law College Road,PuoodSk,1867,3,1,160
Super built-up  Area,18-Jun,2 BHK,Laxmi Road,ViistLa,1251,2,1,47
Super built-up  Area,18-Apr,2 BHK,Lulla Nagar,Arano M,1028,2,1,45.5
Super built-up  Area,Ready To Move,2 BHK,Mahatma Gandhi Road,Amngsag,1222,2,2,45
Super built-up  Area,Ready To Move,3 BHK,Mangalwar peth,SNity S,1170,2,1,66
Super built-up  Area,Ready To Move,3 BHK,Manik Bagh,Kacesh ,2400,4,1,245
Super built-up  Area,Ready To Move,3 BHK,Market yard,,1385,2,2,48.48
Super built-up  Area,Ready To Move,2 BHK,Model colony,SrisePo,1372,2,1,68
Super built-up  Area,Ready To Move,3 BHK,Mukund Nagar,Bilya A,1282,2,2,49
Super built-up  Area,Ready To Move,9 BHK,Mundhawa,Amsomun,5000,9,3,210
Built-up  Area,Ready To Move,5 Bedroom,Nagar Road,,3000,3,1,528
Super built-up  Area,Ready To Move,2 BHK,Nana Peth,Shdhia ,1135,2,1,39.73
Built-up  Area,20-Dec,3 BHK,Narayan Peth,,1768,3,2,101
Built-up  Area,Ready To Move,3 BHK,Narayangaon,Foconna,1325,2,1,90
Super built-up  Area,18-Apr,3 BHK,Navi Peth,Prarkun,1599,3,2,99
Plot  Area,18-Mar,3 Bedroom,Padmavati,,1500,3,1,61.95
Plot  Area,Ready To Move,3 Bedroom,Parvati Darshan,,2610,3,0,499
Super built-up  Area,Ready To Move,2 BHK,Pashan,,1286,2,2,63
Built-up  Area,Ready To Move,5 BHK,Paud Road,,2845,5,1,140
Super built-up  Area,Ready To Move,3 BHK,Pirangut,Aincy R,1600,2,,50
Super built-up  Area,18-Sep,2 BHK,Prabhat Road,Shxorm ,1195 - 1440,2,0,63.77
Super built-up  Area,Ready To Move,3 BHK,Pune Railway Station,Brium C,3450,5,2,260
Super built-up  Area,18-Apr,2 BHK,Rasta Peth,Sadhii ,1102,2,2,53.67
Super built-up  Area,Ready To Move,2 BHK,Raviwar Peth,Sahanra,1350,2,2,54
Super built-up  Area,Ready To Move,3 BHK,Sadashiv Peth,,1200,2,2,42
Plot  Area,Ready To Move,6 Bedroom,Sahakar Nagar,,1300,6,0,145
Plot  Area,Ready To Move,2 Bedroom,Salunke Vihar,,1800,1,1,80
Built-up  Area,Ready To Move,2 BHK,Sasson Road,,950,2,1,40
Super built-up  Area,21-Dec,1 BHK,Satara Road,PrarePa,525,1,1,27.25
Built-up  Area,Ready To Move,2 BHK,Senapati Bapat Road,Jae 2hu,656,2,1,25
Plot  Area,Ready To Move,4 Bedroom,Shaniwar Peth,,1780,4,3,175
Super built-up  Area,Ready To Move,2 BHK,Shivaji Nagar,Icncy R,1056,2,1,80
Super built-up  Area,21-Feb,1 BHK,Shukrawar Peth,Hiatei ,595,1,1,33.32
Built-up  Area,Ready To Move,2 BHK,Sinhagad Road,,1080,2,2,50
Super built-up  Area,19-Dec,3 BHK,Somwar Peth,Puarero,2225,3,1,160
Super built-up  Area,18-Aug,2 BHK,Swargate,DSoodil,1126,2,1,28.15
Super built-up  Area,Ready To Move,3 BHK,Tilak Road,GaicaVe,1490,3,1,84
Plot  Area,Ready To Move,4 Bedroom,Uruli Devachi,,2000,4,1,300
Super built-up  Area,Ready To Move,3 BHK,Vadgaon Budruk,PuineSu,1550,3,3,100
Super built-up  Area,Ready To Move,3 BHK,Wadgaon Sheri,Grare S,1600,3,2,86
Built-up  Area,Ready To Move,2 BHK,Viman Nagar,,1160,2,1,55
Built-up  Area,Ready To Move,4 Bedroom,Vishrant Wadi,PrOakSi,4144,4,3,315
Super built-up  Area,Ready To Move,3 BHK,Wagholi,Supleon,2100,3,2,125
Super built-up  Area,Ready To Move,2 BHK,Wakadewadi,Prlla C,1404,2,1,69.3
Plot  Area,Ready To Move,4 Bedroom,Wanowrie,LGestbo,2230,4,3,225
Super built-up  Area,Ready To Move,3 BHK,Warje,,1544,3,,120
Super built-up  Area,18-May,3 BHK,Yerawada,Pridsi ,1305,2,1,58.7
Super built-up  Area,Ready To Move,2 BHK,Alandi Road,Aahts H,1230,2,2,80
Plot  Area,Ready To Move,2 Bedroom,Ambegaon Budruk,,1200,2,0,65
Super built-up  Area,Ready To Move,3 BHK,Anandnagar,,1460,3,1,73
Plot  Area,Immediate Possession,,Aundh,Asiss B,1200 - 2400,,,34.185
Built-up  Area,Ready To Move,2 BHK,Aundh Road,,967,2,3,45
Built-up  Area,Ready To Move,1 Bedroom,Balaji Nagar,,540,1,1,36
Super built-up  Area,19-Dec,1 BHK,Baner,Kolisl ,715,1,2,46
Super built-up  Area,Ready To Move,3 BHK,Baner road,Toindls,2500,3,2,313
Super built-up  Area,Ready To Move,3 BHK,Bhandarkar Road,Puceswn,1578,3,1,180
Super built-up  Area,Ready To Move,2 BHK,Bhavani Peth,,1020,2,1,48.95
Super built-up  Area,Ready To Move,2 BHK,Bibvewadi,i1odsne,1020,2,1,40
Super built-up  Area,Ready To Move,2 BHK,Bopodi,Ansna K,1253,2,1,102
Super built-up  Area,Ready To Move,2 BHK,Budhwar Peth,ARnamru,1180,2,2,42
Super built-up  Area,Ready To Move,2 BHK,Bund Garden Road,Veyalin,961,2,2,38
Built-up  Area,Ready To Move,3 BHK,Camp,,1419,3,3,75
Super built-up  Area,Ready To Move,3 BHK,Chandan Nagar,SomonCi,1709,3,2,150
Plot  Area,Ready To Move,2 Bedroom,Dapodi,,1600,2,0,115
Super built-up  Area,18-Jul,1 BHK,Deccan Gymkhana,,416,1,1,18.5
Carpet  Area,Ready To Move,2 BHK,Dehu Road,,1100,2,2,98
Super built-up  Area,Ready To Move,3 BHK,Dhankawadi,,1430,2,1,65
Super built-up  Area,Ready To Move,2 BHK,Dhayari Phata,Daill S,1260,2,2,45
Built-up  Area,Ready To Move,3 BHK,Dhole Patil Road,DSureSi,1630,3,2,85
Super built-up  Area,19-May,3 BHK,Erandwane,Soini T,1249,3,2,44.71
Super built-up  Area,Ready To Move,3 BHK,Fatima Nagar,MancyRe,1450,2,3,85
Super built-up  Area,17-Nov,3 BHK,Fergusson College Road,Prasa W,2791,3,1,223
Super built-up  Area,Ready To Move,1 BHK,Ganesh Peth,,600,1,0,90
Built-up  Area,Ready To Move,1 BHK,Ganeshkhind,Kaantth,834,1,1,60
Plot  Area,Ready To Move,3 Bedroom,Ghorpade Peth,,1125,4,1,70
Super built-up  Area,Ready To Move,3 BHK,Ghorpadi,,2060,3,2,140
Super built-up  Area,19-Jan,7 BHK,Gokhale Nagar,,12000,7,3,2200
Built-up  Area,Ready To Move,2 BHK,Gultekdi,Drente ,891,2,1,25
Super built-up  Area,Ready To Move,2 BHK,Guruwar peth,GrrvaGr,1133,2,1,49.07
Built-up  Area,Ready To Move,3 BHK,Hadapsar,Prityel,1075,2,1,37
Super built-up  Area,18-May,4 BHK,Hadapsar Industrial Estate,,3000,5,2,260
Plot  Area,Ready To Move,4 Bedroom,Hingne Khurd,,2440,5,2,425
Built-up  Area,Ready To Move,2 BHK,Jangali Maharaj Road,,1200,2,2,55
Super built-up  Area,Ready To Move,2 BHK,Kalyani Nagar,,1075,2,2,45.8
Super built-up  Area,Ready To Move,2 BHK,Karve Nagar,,1140,2,2,40
Plot  Area,Ready To Move,5 Bedroom,Karve Road,,940,4,2,150
Plot  Area,Ready To Move,6 Bedroom,Kasba Peth,,2160,5,1,250
Super built-up  Area,Ready To Move,2 BHK,Katraj,SGandea,1090,2,1,42
Built-up  Area,Ready To Move,4 Bedroom,Khadaki,,1500,4,1,70
Super built-up  Area,Ready To Move,4 BHK,Khadki,,4104,4,2,360
Super built-up  Area,Ready To Move,3 BHK,Kharadi,,1790,3,,100
Super built-up  Area,18-Dec,3 BHK,Kondhwa,Mahosya,1920,3,2,134
Built-up  Area,Ready To Move,2 BHK,Kondhwa Budruk,Eline P,1374,2,2,95
Carpet  Area,Ready To Move,3 BHK,Kondhwa Khurd,,1445,3,2,95
Super built-up  Area,19-Dec,1 BHK,Koregaon Park,GoityEt,711,1,1,36
Super built-up  Area,Ready To Move,3 BHK,Kothrud,SosonGa,1500,3,3,95
Super built-up  Area,Ready To Move,3 BHK,Law College Road,Gotis A,1720,3,3,100
Super built-up  Area,Ready To Move,3 BHK,Laxmi Road,,1400,3,2,60
Built-up  Area,Ready To Move,2 BHK,Lulla Nagar,,1030,2,2,49
Super built-up  Area,Ready To Move,2 BHK,Mahatma Gandhi Road,PrntaEn,1200,2,1,85
Carpet  Area,18-Jul,3 BHK,Mangalwar peth,NSezeBr,1375,3,2,70
Plot  Area,Ready To Move,2 Bedroom,Manik Bagh,,1050,1,,56
Super built-up  Area,Ready To Move,3 BHK,Market yard,Tahtsla,2250,3,2,160
Super built-up  Area,Ready To Move,2 BHK,Model colony,Sronda ,1000,2,2,50
Super built-up  Area,Ready To Move,1 BHK,Mukund Nagar,Prntsax,469,1,0,25
Super built-up  Area,Ready To Move,4 BHK,Mundhawa,PueraRi,3800,4,3,250
Super built-up  Area,Ready To Move,2 BHK,Nagar Road,Prrtht ,883,2,1,29
Super built-up  Area,Ready To Move,3 BHK,Nana Peth,Chnts A,1820,2,3,86
Built-up  Area,Ready To Move,3 BHK,Narayan Peth,,1440,2,3,65
Super built-up  Area,Ready To Move,6 BHK,Narayangaon,,3600,4,1,160
Built-up  Area,Ready To Move,4 BHK,Navi Peth,GaityEt,2500,5,2,325
Super built-up  Area,18-Aug,2 BHK,Padmavati,,1225,2,2,48
Plot  Area,Ready To Move,3 Bedroom,Parvati Darshan,,4000,3,1,660
Carpet  Area,Ready To Move,2 BHK,Pashan,,875,2,3,52.8
Super built-up  Area,Ready To Move,1 BHK,Paud Road,ShshaSa,750,1,2,40
Super built-up  Area,Ready To Move,2 BHK,Pirangut,,1180,2,3,80
Super built-up  Area,Ready To Move,2 BHK,Prabhat Road,,1194,2,2,47
Super built-up  Area,Ready To Move,3 BHK,Pune Railway Station,,1500,2,2,62
Super built-up  Area,Ready To Move,2 BHK,Rasta Peth,,1160,2,2,52.2
Built-up  Area,Ready To Move,9 Bedroom,Raviwar Peth,,4125Perch,9,,265
